Fecha,Producto,Categoría,Precio,Costo,Cantidad,Sucursal,ClienteID
2024-11-30,Batería 12V,Eléctrico,2000,1300,3,Querétaro,38
2024-12-17,Radiador,Enfriamiento,3500,2100,1,Monterrey,56
2024-12-13,Radiador,Enfriamiento,3500,2100,2,CDMX,261
2025-01-12,Sensor de Oxígeno,Motor,1200,700,1,Guadalajara,213
2024-08-26,Radiador,Enfriamiento,3500,2100,2,Querétaro,166
2024-08-27,Bujías,Motor,700,400,4,Monterrey,20
2025-03-14,Bujías,Motor,700,400,1,Puebla,131
2024-07-22,Batería 12V,Eléctrico,2000,1300,3,Querétaro,115
2025-03-24,Sensor de Oxígeno,Motor,1200,700,3,Querétaro,231
2025-02-06,Alternador,Eléctrico,4500,2800,4,Guadalajara,126
2024-12-14,Alternador,Eléctrico,4500,2800,2,Puebla,227
2024-12-16,Bujías,Motor,700,400,1,Querétaro,193
2024-06-25,Bujías,Motor,700,400,2,Puebla,43
2025-02-05,Alternador,Eléctrico,4500,2800,3,CDMX,158
2024-08-10,Filtro de Aceite,Mantenimiento,250,120,2,Monterrey,263
2025-01-23,Filtro de Aire,Mantenimiento,300,150,4,Guadalajara,55
2025-03-06,Faros LED,Iluminación,1800,1100,3,Guadalajara,281
2024-09-14,Bujías,Motor,700,400,2,CDMX,177
2025-04-11,Radiador,Enfriamiento,3500,2100,1,Querétaro,119
2024-12-09,Amortiguador,Suspensión,900,600,4,Querétaro,294
2025-04-16,Filtro de Aire,Mantenimiento,300,150,1,CDMX,200
2024-12-20,Amortiguador,Suspensión,900,600,2,Guadalajara,282
2024-09-24,Bujías,Motor,700,400,2,CDMX,174
2024-08-05,Batería 12V,Eléctrico,2000,1300,2,Guadalajara,257
2025-04-05,Sensor de Oxígeno,Motor,1200,700,2,Puebla,218
2024-12-08,Filtro de Aire,Mantenimiento,300,150,1,Querétaro,276
2024-11-11,Filtro de Aceite,Mantenimiento,250,120,1,Querétaro,294
2024-09-11,Batería 12V,Eléctrico,2000,1300,3,Monterrey,139
2025-05-23,Alternador,Eléctrico,4500,2800,2,Guadalajara,138
2024-10-12,Amortiguador,Suspensión,900,600,4,Querétaro,194
2025-04-02,Pastillas de Freno,Mantenimiento,850,500,3,Puebla,211
2025-03-08,Pastillas de Freno,Mantenimiento,850,500,3,Guadalajara,178
2024-09-30,Alternador,Eléctrico,4500,2800,3,Guadalajara,51
2025-05-23,Bujías,Motor,700,400,1,Monterrey,139
2025-01-17,Pastillas de Freno,Mantenimiento,850,500,3,Guadalajara,205
2024-10-26,Bujías,Motor,700,400,4,Puebla,199
2024-08-19,Filtro de Aceite,Mantenimiento,250,120,3,Querétaro,91
2024-06-30,Faros LED,Iluminación,1800,1100,4,CDMX,253
2025-04-19,Sensor de Oxígeno,Motor,1200,700,2,CDMX,38
2024-06-25,Batería 12V,Eléctrico,2000,1300,1,Querétaro,286
2024-11-02,Alternador,Eléctrico,4500,2800,1,Querétaro,171
2024-09-13,Radiador,Enfriamiento,3500,2100,1,Guadalajara,122
2024-10-04,Amortiguador,Suspensión,900,600,3,Puebla,170
2025-05-11,Sensor de Oxígeno,Motor,1200,700,4,Querétaro,145
2025-05-30,Amortiguador,Suspensión,900,600,2,Querétaro,82
2024-11-21,Sensor de Oxígeno,Motor,1200,700,2,Querétaro,258
2025-03-18,Alternador,Eléctrico,4500,2800,4,Guadalajara,77
2024-10-09,Sensor de Oxígeno,Motor,1200,700,4,CDMX,166
2025-03-21,Filtro de Aceite,Mantenimiento,250,120,4,Guadalajara,248
2024-07-01,Bujías,Motor,700,400,2,CDMX,236
2025-05-01,Alternador,Eléctrico,4500,2800,4,Guadalajara,292
2024-12-19,Radiador,Enfriamiento,3500,2100,1,CDMX,189
2024-12-03,Filtro de Aire,Mantenimiento,300,150,2,Guadalajara,243
2024-12-29,Alternador,Eléctrico,4500,2800,4,Puebla,78
2025-01-16,Alternador,Eléctrico,4500,2800,1,Querétaro,298
2024-11-22,Pastillas de Freno,Mantenimiento,850,500,1,Guadalajara,26
2024-08-12,Faros LED,Iluminación,1800,1100,1,CDMX,161
2025-04-23,Sensor de Oxígeno,Motor,1200,700,4,Guadalajara,102
2025-03-13,Filtro de Aire,Mantenimiento,300,150,3,CDMX,124
2024-11-11,Batería 12V,Eléctrico,2000,1300,4,Monterrey,9
2024-08-02,Filtro de Aceite,Mantenimiento,250,120,3,Puebla,284
2024-08-28,Pastillas de Freno,Mantenimiento,850,500,4,Querétaro,108
2024-08-13,Amortiguador,Suspensión,900,600,3,Querétaro,29
2025-01-26,Filtro de Aceite,Mantenimiento,250,120,4,Guadalajara,272
2025-04-11,Alternador,Eléctrico,4500,2800,4,CDMX,61
2025-02-28,Sensor de Oxígeno,Motor,1200,700,2,CDMX,47
2025-01-10,Filtro de Aceite,Mantenimiento,250,120,2,Puebla,286
2025-04-18,Amortiguador,Suspensión,900,600,1,Monterrey,13
2025-04-25,Batería 12V,Eléctrico,2000,1300,4,Monterrey,96
2025-05-10,Pastillas de Freno,Mantenimiento,850,500,3,Querétaro,36
2024-08-23,Filtro de Aire,Mantenimiento,300,150,3,Querétaro,217
2025-05-30,Sensor de Oxígeno,Motor,1200,700,1,Puebla,193
2024-12-17,Pastillas de Freno,Mantenimiento,850,500,3,Querétaro,19
2024-12-05,Batería 12V,Eléctrico,2000,1300,1,Puebla,57
2025-03-22,Filtro de Aire,Mantenimiento,300,150,2,Querétaro,200
2025-02-26,Sensor de Oxígeno,Motor,1200,700,1,Monterrey,258
2025-04-30,Radiador,Enfriamiento,3500,2100,2,Monterrey,13
2024-06-10,Batería 12V,Eléctrico,2000,1300,4,Monterrey,138
2025-05-05,Filtro de Aceite,Mantenimiento,250,120,1,Monterrey,266
2024-09-14,Amortiguador,Suspensión,900,600,3,Puebla,11
2024-12-09,Batería 12V,Eléctrico,2000,1300,1,Monterrey,23
2024-10-15,Filtro de Aceite,Mantenimiento,250,120,4,Guadalajara,102
2024-09-09,Batería 12V,Eléctrico,2000,1300,4,Monterrey,174
2025-02-02,Alternador,Eléctrico,4500,2800,2,CDMX,121
2024-06-26,Amortiguador,Suspensión,900,600,3,Puebla,68
2024-12-20,Faros LED,Iluminación,1800,1100,4,Querétaro,288
2025-02-13,Pastillas de Freno,Mantenimiento,850,500,4,Querétaro,287
2024-08-08,Bujías,Motor,700,400,3,Monterrey,201
2024-08-26,Sensor de Oxígeno,Motor,1200,700,3,Puebla,147
2024-07-09,Bujías,Motor,700,400,1,CDMX,139
2025-03-31,Bujías,Motor,700,400,3,Monterrey,270
2024-12-31,Batería 12V,Eléctrico,2000,1300,3,Puebla,238
2024-11-02,Faros LED,Iluminación,1800,1100,4,CDMX,86
2024-10-29,Filtro de Aire,Mantenimiento,300,150,4,Guadalajara,141
2024-09-15,Faros LED,Iluminación,1800,1100,2,Puebla,287
2024-08-25,Filtro de Aceite,Mantenimiento,250,120,1,Monterrey,184
2025-05-06,Amortiguador,Suspensión,900,600,4,Puebla,158
2024-07-01,Faros LED,Iluminación,1800,1100,2,Puebla,39
2025-05-25,Faros LED,Iluminación,1800,1100,3,Querétaro,107
2025-05-21,Batería 12V,Eléctrico,2000,1300,2,CDMX,66
2025-02-14,Pastillas de Freno,Mantenimiento,850,500,3,Puebla,276
2024-07-30,Bujías,Motor,700,400,1,Guadalajara,161
2024-08-21,Amortiguador,Suspensión,900,600,2,Guadalajara,81
2025-01-05,Amortiguador,Suspensión,900,600,3,Puebla,70
2025-06-04,Batería 12V,Eléctrico,2000,1300,4,Monterrey,227
2024-11-08,Bujías,Motor,700,400,1,Querétaro,185
2025-05-22,Alternador,Eléctrico,4500,2800,4,CDMX,115
2024-12-30,Pastillas de Freno,Mantenimiento,850,500,4,Querétaro,203
2024-12-01,Batería 12V,Eléctrico,2000,1300,3,Guadalajara,131
2024-09-20,Amortiguador,Suspensión,900,600,1,Puebla,10
2024-10-14,Amortiguador,Suspensión,900,600,2,Monterrey,26
2024-10-28,Radiador,Enfriamiento,3500,2100,2,CDMX,211
2025-06-06,Alternador,Eléctrico,4500,2800,3,Monterrey,114
2025-05-22,Filtro de Aceite,Mantenimiento,250,120,1,CDMX,77
2025-05-14,Filtro de Aire,Mantenimiento,300,150,2,Puebla,49
2024-07-03,Radiador,Enfriamiento,3500,2100,1,Puebla,210
2024-06-21,Bujías,Motor,700,400,1,Guadalajara,154
2025-02-23,Batería 12V,Eléctrico,2000,1300,3,CDMX,117
2025-02-27,Filtro de Aire,Mantenimiento,300,150,2,CDMX,50
2024-10-31,Pastillas de Freno,Mantenimiento,850,500,4,Querétaro,299
2024-10-29,Sensor de Oxígeno,Motor,1200,700,2,CDMX,90
2024-10-10,Filtro de Aire,Mantenimiento,300,150,3,Querétaro,295
2025-04-09,Filtro de Aire,Mantenimiento,300,150,3,Querétaro,137
2025-04-07,Radiador,Enfriamiento,3500,2100,3,Guadalajara,178
2024-07-14,Sensor de Oxígeno,Motor,1200,700,2,Querétaro,111
2024-12-30,Filtro de Aire,Mantenimiento,300,150,3,Querétaro,190
2024-11-30,Pastillas de Freno,Mantenimiento,850,500,2,Puebla,87
2025-02-13,Amortiguador,Suspensión,900,600,3,Guadalajara,218
2025-03-11,Sensor de Oxígeno,Motor,1200,700,2,CDMX,8
2025-03-15,Faros LED,Iluminación,1800,1100,3,Querétaro,38
2025-02-25,Bujías,Motor,700,400,3,Puebla,71
2024-08-07,Amortiguador,Suspensión,900,600,4,Puebla,12
2024-07-04,Bujías,Motor,700,400,1,Monterrey,155
2025-04-29,Amortiguador,Suspensión,900,600,3,Monterrey,110
2025-03-03,Filtro de Aire,Mantenimiento,300,150,3,Puebla,135
2024-10-17,Amortiguador,Suspensión,900,600,4,Guadalajara,9
2025-02-22,Pastillas de Freno,Mantenimiento,850,500,2,CDMX,47
2025-05-16,Radiador,Enfriamiento,3500,2100,4,Puebla,92
2024-10-15,Faros LED,Iluminación,1800,1100,2,Querétaro,102
2024-06-29,Radiador,Enfriamiento,3500,2100,3,Monterrey,73
2024-07-19,Filtro de Aceite,Mantenimiento,250,120,3,Querétaro,174
2024-10-14,Bujías,Motor,700,400,4,Puebla,128
2024-12-04,Alternador,Eléctrico,4500,2800,4,Guadalajara,100
2024-09-04,Sensor de Oxígeno,Motor,1200,700,4,Monterrey,74
2025-01-23,Sensor de Oxígeno,Motor,1200,700,2,Monterrey,288
2025-02-21,Alternador,Eléctrico,4500,2800,1,Puebla,286
2025-01-30,Pastillas de Freno,Mantenimiento,850,500,3,Querétaro,210
2025-04-18,Batería 12V,Eléctrico,2000,1300,1,Monterrey,165
2024-07-17,Amortiguador,Suspensión,900,600,4,CDMX,41
2024-07-20,Bujías,Motor,700,400,3,Guadalajara,65
2024-07-28,Faros LED,Iluminación,1800,1100,1,CDMX,89
2024-10-05,Filtro de Aceite,Mantenimiento,250,120,3,Querétaro,171
2025-05-26,Sensor de Oxígeno,Motor,1200,700,3,Guadalajara,261
2024-10-27,Pastillas de Freno,Mantenimiento,850,500,4,Guadalajara,82
2025-03-14,Faros LED,Iluminación,1800,1100,2,Puebla,121
2024-09-12,Faros LED,Iluminación,1800,1100,2,CDMX,67
2024-11-09,Pastillas de Freno,Mantenimiento,850,500,2,Querétaro,155
2024-12-26,Sensor de Oxígeno,Motor,1200,700,2,Guadalajara,55
2025-05-05,Filtro de Aire,Mantenimiento,300,150,4,CDMX,116
2025-03-17,Alternador,Eléctrico,4500,2800,1,Querétaro,30
2024-08-23,Alternador,Eléctrico,4500,2800,1,Guadalajara,227
2025-04-03,Faros LED,Iluminación,1800,1100,2,Monterrey,283
2024-09-30,Filtro de Aire,Mantenimiento,300,150,1,Guadalajara,210
2024-06-17,Alternador,Eléctrico,4500,2800,1,Guadalajara,74
2024-11-06,Faros LED,Iluminación,1800,1100,1,Puebla,29
2024-08-30,Batería 12V,Eléctrico,2000,1300,1,Guadalajara,35
2024-06-30,Faros LED,Iluminación,1800,1100,3,CDMX,50
2025-06-03,Bujías,Motor,700,400,2,Monterrey,283
2024-12-25,Sensor de Oxígeno,Motor,1200,700,3,Puebla,43
2024-07-25,Alternador,Eléctrico,4500,2800,2,Guadalajara,116
2024-09-03,Amortiguador,Suspensión,900,600,3,Guadalajara,41
2024-10-08,Pastillas de Freno,Mantenimiento,850,500,4,Querétaro,10
2024-06-23,Filtro de Aceite,Mantenimiento,250,120,3,Querétaro,143
2024-10-30,Bujías,Motor,700,400,2,Querétaro,51
2025-02-22,Amortiguador,Suspensión,900,600,4,Monterrey,171
2025-05-02,Batería 12V,Eléctrico,2000,1300,4,Monterrey,212
2024-07-25,Radiador,Enfriamiento,3500,2100,3,CDMX,156
2024-06-19,Amortiguador,Suspensión,900,600,4,Monterrey,27
2024-11-27,Faros LED,Iluminación,1800,1100,2,Guadalajara,141
2025-02-01,Filtro de Aceite,Mantenimiento,250,120,1,Guadalajara,125
2024-06-12,Radiador,Enfriamiento,3500,2100,2,Guadalajara,177
2025-01-05,Pastillas de Freno,Mantenimiento,850,500,4,CDMX,230
2024-09-03,Pastillas de Freno,Mantenimiento,850,500,4,CDMX,31
2025-04-18,Bujías,Motor,700,400,3,Monterrey,115
2024-07-14,Alternador,Eléctrico,4500,2800,2,Monterrey,142
2025-01-31,Sensor de Oxígeno,Motor,1200,700,2,Puebla,140
2024-12-10,Amortiguador,Suspensión,900,600,2,Querétaro,278
2024-09-04,Alternador,Eléctrico,4500,2800,4,Monterrey,162
2024-09-12,Batería 12V,Eléctrico,2000,1300,4,Puebla,146
2024-10-08,Filtro de Aire,Mantenimiento,300,150,4,CDMX,233
2024-10-12,Amortiguador,Suspensión,900,600,1,Puebla,92
2025-05-08,Bujías,Motor,700,400,1,Guadalajara,273
2024-09-13,Radiador,Enfriamiento,3500,2100,3,CDMX,157
2024-09-29,Faros LED,Iluminación,1800,1100,1,CDMX,223
2025-03-11,Sensor de Oxígeno,Motor,1200,700,4,Puebla,76
2024-09-06,Bujías,Motor,700,400,3,Puebla,103
2024-07-06,Filtro de Aire,Mantenimiento,300,150,3,Puebla,266
2024-06-18,Filtro de Aire,Mantenimiento,300,150,4,Puebla,252
2024-07-02,Bujías,Motor,700,400,1,CDMX,85
2024-12-06,Alternador,Eléctrico,4500,2800,3,Guadalajara,98
2024-07-05,Amortiguador,Suspensión,900,600,2,Querétaro,208
2025-01-25,Bujías,Motor,700,400,4,Puebla,239
2024-11-14,Amortiguador,Suspensión,900,600,4,Monterrey,90
2025-04-24,Radiador,Enfriamiento,3500,2100,3,Guadalajara,214
2025-05-16,Amortiguador,Suspensión,900,600,3,Monterrey,44
2025-05-27,Filtro de Aire,Mantenimiento,300,150,4,CDMX,87
2025-05-30,Faros LED,Iluminación,1800,1100,4,Guadalajara,142
2025-04-16,Bujías,Motor,700,400,4,Querétaro,152
2025-06-05,Pastillas de Freno,Mantenimiento,850,500,4,Guadalajara,200
2024-12-19,Sensor de Oxígeno,Motor,1200,700,4,CDMX,38
2025-04-28,Alternador,Eléctrico,4500,2800,4,Guadalajara,78
2024-07-02,Bujías,Motor,700,400,2,Monterrey,97
2024-12-01,Radiador,Enfriamiento,3500,2100,3,Puebla,84
2025-04-18,Sensor de Oxígeno,Motor,1200,700,1,Querétaro,173
2025-06-01,Amortiguador,Suspensión,900,600,4,Querétaro,258
2024-06-24,Radiador,Enfriamiento,3500,2100,2,Guadalajara,272
2024-08-20,Filtro de Aceite,Mantenimiento,250,120,2,Guadalajara,60
2024-12-12,Alternador,Eléctrico,4500,2800,3,Guadalajara,162
2024-11-16,Batería 12V,Eléctrico,2000,1300,1,Querétaro,13
2025-03-09,Alternador,Eléctrico,4500,2800,1,Guadalajara,187
2024-07-03,Amortiguador,Suspensión,900,600,1,Monterrey,103
2024-08-01,Faros LED,Iluminación,1800,1100,4,Guadalajara,300
2025-03-12,Filtro de Aire,Mantenimiento,300,150,3,Querétaro,98
2025-04-06,Amortiguador,Suspensión,900,600,2,Puebla,104
2024-07-24,Faros LED,Iluminación,1800,1100,1,CDMX,150
2024-10-19,Radiador,Enfriamiento,3500,2100,3,Puebla,112
2025-03-30,Faros LED,Iluminación,1800,1100,1,Monterrey,134
2024-12-16,Filtro de Aire,Mantenimiento,300,150,3,Monterrey,265
2025-02-11,Alternador,Eléctrico,4500,2800,1,Monterrey,256
2024-06-13,Bujías,Motor,700,400,2,Puebla,25
2024-06-10,Pastillas de Freno,Mantenimiento,850,500,4,Puebla,251
2024-06-14,Radiador,Enfriamiento,3500,2100,3,Monterrey,54
2024-10-27,Faros LED,Iluminación,1800,1100,1,CDMX,123
2025-04-06,Pastillas de Freno,Mantenimiento,850,500,1,Monterrey,154
2024-11-09,Filtro de Aire,Mantenimiento,300,150,1,CDMX,44
